Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C4, C5, C6, C7, C8, C9",0402,9,1uF,C52923
C11,0805,1,4.7uF,C1779
"C12, C2",0402,2,4.7uF,C23733
"C13, C14",0402,2,0.1uF,C1525
"D1, D2, D3",D_SOD-123,3,MBR0530,C77336
J2,AFE03-S25FMA-1H,1,~,C262544
J3,TouchSlider-9_50x10mm,1,CapacitiveTouch,
J4,AFC01-S12FCA-00,1,Conn_01x12_Pin,C262661
L1,L_Cenker_CKCS5020,1,10uH,C52281
Q1,SOT-323_SC-70,1,Si1308EDL,C7603347
R1,0603,1,0.47R,C3013349
R2,0805,1,10k,C17414
R3,0603,1,75k,C23242
RN1,R_Array_Concave_4x0603,1,4x10k,C29718
U1,UQFN-20_3x3mm_P0.4mm,1,MPR121QR2,C91322
