"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4,C16,C17,C18","5","0.1U","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C3,C12","3","10u","","","","ESP32 PROJECT LIBRARY:T491A","~"
"C5,C9,C10,C11,C14,C15,C19,C20","8","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C21","2","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8,C13","2","4.7u","","","","ESP32 PROJECT LIBRARY:T491A","~"
"C22","1","10n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"F1","1","0ZCH0110AF2E","","","","ESP32 PROJECT LIBRARY:FUSC3226X100N","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zch-series.pdf"
"FB1","1","FBMJ2125HM330-T","","","","ESP32 PROJECT LIBRARY:BEADC2012X105N",""
"J1,J2","2","SS-52400-002","","","","ESP32 PROJECT LIBRARY:BELFUSE_SS-52400-002",""
"J3","1","B2B-PH-SM4-TB","","","","ESP32 PROJECT LIBRARY:JST_B2B-PH-SM4-TB",""
"J4","1","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J5","1","Conn_01x05_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"Jx1","1","GSD090012SEU","","","","ESP32 PROJECT LIBRARY:AMPHENOL_GSD090012SEU",""
"LED1","1","LTST-C170TBKT","","","","ESP32 PROJECT LIBRARY:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170TBKT.pdf"
"LED2,LED6","2","LTST-C170GKT","","","","ESP32 PROJECT LIBRARY:LEDC2012X120N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/895/LTST-C170GKT.pdf"
"LED3,LED4,LED5","3","LTST-C170KRKT","","","","ESP32 PROJECT LIBRARY:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf"
"MK1","1","CMC-5042PF-AC","","","","ESP32 PROJECT LIBRARY:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","ESP32 PROJECT LIBRARY:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1,R2","2","5k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R1X1,R14,R17,R19","4","50","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4,R5,R6,R15,R16","6","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R18,R26,R27","5","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R22,R23","3","2K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","20K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","22K1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","47K5","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R20,R21","2","4K7","","","","Resistor_SMD:R_0805_2012Metric","~"
"R24,R25","2","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28","1","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R29,R30,R31","3","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"S1,S2","2","USLPT2819DT2TR","","","","ESP32 PROJECT LIBRARY:SW_USLPT2819DT2TR",""
"TP1","1","Test MISO","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP2","1","TEST SD","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP3","1","TEST MOSI","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP4","1","TesT scl","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP5","1","TEST CS","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U3","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U4","1","W25Q32JVSSIQ","","","","ESP32 PROJECT LIBRARY:SOIC127P790X216-8N",""
"U5","1","ESP32-C3-WROOM-02-H4","","","","ESP32 PROJECT LIBRARY:MODULE_ESP32-C3-WROOM-02-H4",""
"U6","1","BME280","","","","ESP32 PROJECT LIBRARY:PSON65P250X250X100-8N",""
"U7","1","MAX4466EXK","","","","ESP32 PROJECT LIBRARY:SOT65P210X110-5N",""
"VR1","1","LM1117MPX-3.3","","","","ESP32 PROJECT LIBRARY:VREG_LM1117MPX-3.3",""
